Data d'inici,Municipis,Àmbit Territorial,Cens 2019,Model RS FORM domiciliaria,% població servida amb el PaP,Fraccions recollides PaP
7/6/2004,GARCIA,Ribera d'Ebre,583,Porta a porta,100,5 [FO+R+V+P/C+E]
2/3/2006,GINESTAR,Ribera d'Ebre,802,Porta a porta,100,2 [FO+R]
15/02/2006,"Torre de l'Espanyol, la",Ribera d'Ebre,644,Porta a porta,100,5 [FO+R+V+P/C+E]
15/04/2004,MIRAVET,Ribera d'Ebre,747,Porta a porta,100,2 [FO+R]
11/10/2004,RASQUERA,Ribera d'Ebre,864,Porta a porta,100,5 [FO+R+V+P/C+E]
1/6/2006,TIVISSA,Ribera d'Ebre,1.751,Porta a porta,100,2 [FO+R]
18/01/2016,VINEBRE,Ribera d'Ebre,435,Porta a porta,100,4 [FO+R+P/C+E]
17/10/2005,SANT JOAN DE LES ABADESSES,Ripollès,3.383,Vorera i porta a porta,97,5 [FO+R+V+P/C+E]
8/3/2002,CERVERA,Segarra,8.956,Porta a porta,100,4 [FO+R+P/C+E]
14/05/2002,GUISSONA,Segarra,6.862,Porta a porta,100,4 [FO+R+P/C+E]
19/02/2019,SANAÜJA,Segarra,393,Porta a porta,100,4 [FO+R+P/C+E]
18/06/2002,SANT GUIM DE FREIXENET,Segarra,1.078,Porta a porta,100,4 [FO+R+P/C+E]
19/03/2019,SANT RAMON,Segarra,491,Porta a porta,100,4 [FO+R+P/C+E]
18/06/2002,TORÀ,Segarra,1.232,Porta a porta,100,4 [FO+R+P/C+E]
10/12/2018,ALCARRÀS,Segrià,9.363,Porta a porta,100,5 [FO+R+V+P/C+E]
19/11/2018,ALFARRÀS,Segrià,2.879,Porta a porta,100,5 [FO+R+V+P/C+E]
19/11/2018,ALGUAIRE,Segrià,2.97,Porta a porta,100,5 [FO+R+V+P/C+E]
29/10/2018,ALMATRET,Segrià,319,Porta a porta,100,5 [FO+R+V+P/C+E]
19/11/2018,ALMENAR,Segrià,3.468,Porta a porta,100,5 [FO+R+V+P/C+E]
1/11/2005,ARTESA DE LLEIDA,Segrià,1.517,Porta a porta,100,5 [FO+R+V+P/C+E]
1/10/2018,ASPA,Segrià,214,Porta a porta,100,5 [FO+R+V+P/C+E]
1/10/2018,CORBINS,Segrià,1.411,Porta a porta,100,5 [FO+R+V+P/C+E]
1/10/2018,"Alamús, els",Segrià,777,Porta a porta,100,5 [FO+R+V+P/C+E]
29/10/2018,"Granja d'Escarp, la",Segrià,971,Porta a porta,100,5 [FO+R+V+P/C+E]
1/10/2018,"Portella, la",Segrià,708,Porta a porta,100,5 [FO+R+V+P/C+E]
29/10/2018,LLARDECANS,Segrià,470,Porta a porta,100,5 [FO+R+V+P/C+E]
5/11/2018,Lleida,Segrià,137.327,Vorera i porta a porta,"1,4",3 [FO+MP+R]
29/10/2018,MAIALS,Segrià,945,Porta a porta,100,5 [FO+R+V+P/C+E]
29/10/2018,MASSALCOREIG,Segrià,588,Porta a porta,100,5 [FO+R+V+P/C+E]
15/10/2018,MONTOLIU DE LLEIDA,Segrià,469,Porta a porta,100,5 [FO+R+V+P/C+E]
1/10/2018,PUIGVERD DE LLEIDA,Segrià,1.35,Porta a porta,100,5 [FO+R+V+P/C+E]
29/10/2018,SARROCA DE LLEIDA,Segrià,370,Porta a porta,100,5 [FO+R+V+P/C+E]
15/10/2018,SERÒS,Segrià,1.895,Porta a porta,100,5 [FO+R+V+P/C+E]
15/10/2018,SOSES,Segrià,1.719,Porta a porta,100,5 [FO+R+V+P/C+E]
15/10/2018,SUDANELL,Segrià,874,Porta a porta,100,5 [FO+R+V+P/C+E]
1/10/2018,SUNYER,Segrià,359,Porta a porta,100,5 [FO+R+V+P/C+E]
29/10/2018,TORREBESSES,Segrià,290,Porta a porta,100,5 [FO+R+V+P/C+E]
1/8/2018,OLIUS,Solsonès,931,Vorera i porta a porta,83,5 [FO+R+V+P/C+E]
12/11/2012,SANT LLORENÇ DE MORUNYS,Solsonès,949,Porta a porta,100,4 [FO+R+P/C+E]
16/03/2009,TORREDEMBARRA,Tarragonès,15.31,Vorera i porta a porta,12,5 [FO+R+V+P/C+E]
1/4/2009,ARNES,Terra Alta,474,Porta a porta,100,5 [FO+R+V+P/C+E]
10/6/2002,BATEA,Terra Alta,1.945,Porta a porta,100,5 [FO+R+V+P/C+E]
1/4/2009,BOT,Terra Alta,618,Porta a porta,100,5 [FO+R+V+P/C+E]
4/5/2009,CASERES,Terra Alta,258,Porta a porta,100,2 [FO+R]
4/5/2009,CORBERA D'EBRE,Terra Alta,1.095,Porta a porta,100,5 [FO+R+V+P/C+E]
4/5/2009,"Pinell de Brai, el",Terra Alta,1.053,Porta a porta,100,5 [FO+R+V+P/C+E]
1/6/2006,GANDESA,Terra Alta,3.009,Porta a porta,100,4 [FO+R+P/C+E]
1/4/2009,HORTA DE SANT JOAN,Terra Alta,1.217,Porta a porta,100,5 [FO+R+V+P/C+E]
4/10/2004,"Fatarella, la",Terra Alta,1.028,Porta a porta,100,5 [FO+R+V+P/C+E]
4/5/2009,"Pobla de Massaluca, la",Terra Alta,341,Porta a porta,100,5 [FO+R+V+P/C+E]
1/5/2009,PRAT DE COMTE,Terra Alta,165,Porta a porta,100,5 [FO+R+V+P/C+E]
4/5/2009,VILALBA DELS ARCS,Terra Alta,669,Porta a porta,100,5 [FO+R+V+P/C+E]
20/04/2010,CASTELLSERÀ,Urgell,1.044,Porta a porta,100,4 [FO+R+P/C+E]
2/11/2009,VERDÚ,Urgell,947,Porta a porta,100,5 [FO+R+V+P/C+E]
26/10/2020,BARBERÀ DEL VALLÈS. Barris:,Vallès Occidental,33.091,Vorera i porta a porta,,5 [FO+R+V+P/C+E]
,"Can Gorgs, Can Gors II",,,,,
,i Estació - Ca n'Estaper,,,,,
5/5/2005,MATADEPERA,Vallès Occidental,8.9,Porta a porta,100,5 [FO+R+V+P/C+E]
1/11/2008,PALAU-SOLITÀ I PLEGAMANS,Vallès Occidental,14.457,Porta a porta,100,2 [FO+R]
14/10/2020,ULLASTRELL,Vallès Occidental,2.093,Porta a porta,100,5 [FO+R+V+P/C+E]
24/11/2017,VACARISSES,Vallès Occidental,6.192,Porta a porta,100,5 [FO+R+V+P/C+E]
26/10/2008,AIGUAFREDA,Vallès Oriental,2.465,Porta a porta,100,3 [FO+MP+R]
17/05/2009,FIGARÓ-MONTMANY,Vallès Oriental,1.094,Porta a porta,100,3 [FO+MP+R]
1/1/2004,LLIÇÀ DE VALL,Vallès Oriental,6.383,Porta a porta,100,2 [FO+R]
12/6/2006,MARTORELLES,Vallès Oriental,4.756,Porta a porta,100,2 [FO+R]
1/10/2005,SANT ANTONI DE VILAMAJOR,Vallès Oriental,5.789,Porta a porta,100,4 [FO+R+P/C+E]
13/11/2016,SANT ESTEVE DE PALAUTORDERA,Vallès Oriental,2.568,Porta a porta,100,5 [FO+R+V+P/C+E]
18/10/2004,SANT FELIU DE CODINES,Vallès Oriental,5.908,Porta a porta,92,4 [FO+R+P/C+E]
15/11/2018,SANTA EULÀLIA DE RONÇANA,Vallès Oriental,7.124,Porta a porta,100,5 [FO+R+V+P/C+E]
5/2/2018,SANTA MARIA DE MARTORELLES,Vallès Oriental,861,Porta a porta,100,2 [FO+R]
28/06/2009,TAGAMANENT,Vallès Oriental,319,Porta a porta,100,3 [FO+MP+R]
